reward,horizon,epsilon,ep_p,ep_v,lr_p,lr_v,mbs_p,mbs_v,lambda
199.19,8192.0,0.1,4.0,8.0,0.001,0.0005,2048.0,256.0,0.98
199.07,8192.0,0.2,4.0,8.0,0.001,0.005,2048.0,256.0,0.98
198.75,8192.0,0.1,4.0,8.0,0.0005,0.0005,2048.0,256.0,0.98
198.67,8192.0,0.2,4.0,8.0,0.005,0.001,2048.0,256.0,0.98
198.26,8192.0,0.1,4.0,8.0,0.0005,0.001,2048.0,256.0,0.98
196.52,8192.0,0.2,4.0,8.0,0.0001,0.0001,2048.0,256.0,0.95
194.87,8192.0,0.1,4.0,8.0,0.005,0.0005,2048.0,256.0,0.98
190.52,8192.0,0.2,4.0,8.0,0.0001,0.0001,2048.0,256.0,0.95
190.38,8192.0,0.3,4.0,8.0,0.0001,0.0001,2048.0,256.0,0.98
188.48,8192.0,0.1,4.0,8.0,0.0005,0.001,2048.0,256.0,0.98
188.46,8192.0,0.3,4.0,8.0,0.0001,0.0001,2048.0,256.0,0.95
187.70,8192.0,0.3,4.0,20.0,0.005,0.005,2048.0,256.0,0.98
187.25,8192.0,0.2,4.0,8.0,0.0005,0.0005,2048.0,256.0,0.98
186.03,8192.0,0.3,4.0,8.0,0.005,0.005,2048.0,256.0,0.98
183.98,8192.0,0.3,8.0,20.0,0.001,0.0005,2048.0,256.0,0.98
183.29,8192.0,0.1,4.0,8.0,0.005,0.005,2048.0,256.0,0.98
182.21,8192.0,0.2,4.0,8.0,0.0001,0.0001,2048.0,256.0,0.98
178.36,8192.0,0.1,4.0,8.0,0.005,0.0005,2048.0,256.0,0.98
177.80,8192.0,0.2,4.0,8.0,0.001,0.001,2048.0,256.0,0.98
176.10,8192.0,0.1,4.0,8.0,0.005,0.001,2048.0,256.0,0.98
166.95,8192.0,0.3,4.0,8.0,0.005,0.0005,2048.0,256.0,0.98
166.29,8192.0,0.1,4.0,8.0,0.005,0.005,2048.0,256.0,0.98
165.56,8192.0,0.1,4.0,8.0,0.005,0.005,2048.0,256.0,0.98
165.43,8192.0,0.1,4.0,8.0,0.005,0.001,2048.0,256.0,0.98
164.65,8192.0,0.3,20.0,20.0,0.001,0.005,2048.0,256.0,0.98
163.74,8192.0,0.1,4.0,8.0,0.0005,0.0001,2048.0,256.0,0.98
161.91,8192.0,0.2,4.0,8.0,0.0001,0.0001,2048.0,256.0,0.98
159.16,8192.0,0.3,20.0,20.0,0.005,0.005,2048.0,2048.0,0.98
157.58,8192.0,0.1,4.0,8.0,0.0001,0.0001,2048.0,256.0,0.98
146.90,4096.0,0.1,12.0,4.0,0.001,0.0005,256.0,256.0,0.98
125.66,8192.0,0.3,4.0,8.0,0.0001,0.0005,2048.0,256.0,0.95
125.00,8192.0,0.3,4.0,20.0,0.005,0.001,2048.0,256.0,0.98
107.79,8192.0,0.3,8.0,20.0,0.0005,0.0001,2048.0,256.0,0.98
106.65,8192.0,0.3,4.0,8.0,0.005,0.0005,2048.0,256.0,0.98
104.28,8192.0,0.2,4.0,8.0,0.001,0.005,2048.0,256.0,0.95
104.18,8192.0,0.2,4.0,8.0,0.001,0.001,2048.0,256.0,0.95
99.86,8192.0,0.2,4.0,8.0,0.005,0.001,2048.0,256.0,0.95
98.13,8192.0,0.1,20.0,8.0,0.0001,0.005,2048.0,512.0,0.85
96.52,8192.0,0.3,8.0,20.0,0.001,0.005,2048.0,256.0,0.98
94.26,8192.0,0.3,4.0,8.0,0.0005,0.005,2048.0,256.0,0.95
91.51,8192.0,0.3,4.0,8.0,0.005,0.005,2048.0,256.0,0.98
89.60,8192.0,0.2,4.0,8.0,0.005,0.005,2048.0,256.0,0.95
88.77,8192.0,0.2,4.0,8.0,0.0005,0.005,2048.0,256.0,0.95
