reward,theta,sigma,lr_p,lr_v,mbs,bc,tau
35.31,0.2,0.15,0.0001,0.005,128.0,500000.0,0.0001
35.15,0.2,0.15,0.0001,0.005,128.0,500000.0,0.0005
35.05,0.2,0.15,0.0005,0.0001,128.0,500000.0,0.0001
34.89,0.2,0.15,0.0001,0.005,128.0,500000.0,0.005
34.88,0.2,0.15,0.001,0.005,128.0,500000.0,0.0001
34.55,0.25,0.15,0.001,0.005,64.0,250000.0,0.0001
34.46,0.2,0.15,0.0005,0.0001,128.0,500000.0,0.01
34.41,0.2,0.15,0.001,0.005,128.0,500000.0,0.001
33.78,0.2,0.15,0.0005,0.0005,128.0,500000.0,0.01
33.31,0.2,0.15,0.0005,0.005,128.0,500000.0,0.001
32.87,0.2,0.15,0.0005,0.005,128.0,500000.0,0.0001
32.75,0.2,0.15,0.005,0.005,128.0,500000.0,0.0005
31.33,0.15,0.2,0.001,0.005,128.0,1000000.0,0.01
29.20,0.2,0.15,0.0005,0.0001,128.0,500000.0,0.01
29.20,0.2,0.15,0.005,0.005,128.0,500000.0,0.001
28.83,0.2,0.15,0.0001,0.0001,128.0,500000.0,0.005
27.64,0.2,0.15,0.0001,0.005,128.0,500000.0,0.005
27.34,0.2,0.15,0.0001,0.0001,128.0,500000.0,0.01
25.58,0.2,0.15,0.005,0.0001,128.0,500000.0,0.01
22.39,0.1,0.2,0.0005,0.005,16.0,1000000.0,0.005
22.21,0.2,0.15,0.005,0.0001,128.0,500000.0,0.005
17.63,0.2,0.15,0.005,0.0001,128.0,500000.0,0.0001
13.61,0.2,0.15,0.005,0.0001,128.0,500000.0,0.0005
-5.41,0.2,0.15,0.005,0.001,128.0,500000.0,0.01
-6.61,0.15,0.3,0.005,0.001,64.0,250000.0,0.0005
-9.44,0.2,0.15,0.005,0.001,128.0,500000.0,0.001
-11.63,0.2,0.15,0.005,0.0005,128.0,500000.0,0.0001
-11.95,0.2,0.15,0.005,0.001,128.0,500000.0,0.0001
-12.05,0.2,0.15,0.005,0.0005,128.0,500000.0,0.0005
-12.13,0.2,0.15,0.005,0.005,128.0,500000.0,0.0001
-18.14,0.2,0.15,0.001,0.0001,128.0,500000.0,0.0005
