reward,horizon,target_kl,ep_p,ep_v,lr_p,lr_v,mbs_p,mbs_v,lambda
209.49,8192.0,0.005,4.0,4.0,0.0001,0.005,2048.0,256.0,0.98
209.44,8192.0,0.003,4.0,4.0,0.0001,0.005,2048.0,256.0,0.98
209.22,8192.0,0.0008,4.0,20.0,0.001,0.005,2048.0,256.0,0.98
209.02,8192.0,0.0008,4.0,20.0,0.0005,0.0005,2048.0,256.0,0.98
208.90,8192.0,0.001,4.0,20.0,0.0001,0.001,2048.0,256.0,0.98
208.82,8192.0,0.01,4.0,8.0,0.0001,0.005,2048.0,256.0,0.95
208.57,8192.0,0.0008,4.0,20.0,0.001,0.001,2048.0,256.0,0.98
208.18,8192.0,0.0008,4.0,4.0,0.005,0.005,2048.0,256.0,0.98
207.53,8192.0,0.0008,4.0,20.0,0.0001,0.0001,2048.0,256.0,0.98
206.82,8192.0,0.0008,4.0,4.0,0.0001,0.001,2048.0,256.0,0.98
206.68,8192.0,0.005,4.0,20.0,0.0001,0.001,2048.0,256.0,0.98
205.93,8192.0,0.003,4.0,20.0,0.005,0.005,2048.0,256.0,0.98
205.83,8192.0,0.0008,4.0,20.0,0.0005,0.001,2048.0,256.0,0.98
205.52,8192.0,0.007,4.0,20.0,0.0001,0.005,2048.0,256.0,0.98
204.61,8192.0,0.007,4.0,20.0,0.0001,0.0001,2048.0,256.0,0.98
204.54,8192.0,0.001,4.0,20.0,0.0005,0.001,2048.0,256.0,0.98
203.99,8192.0,0.003,4.0,20.0,0.0001,0.005,2048.0,256.0,0.98
203.64,8192.0,0.01,4.0,20.0,0.0001,0.0005,2048.0,256.0,0.98
203.60,8192.0,0.001,4.0,4.0,0.0005,0.005,2048.0,256.0,0.98
203.54,8192.0,0.003,4.0,20.0,0.0001,0.0001,2048.0,256.0,0.98
203.52,8192.0,0.01,4.0,20.0,0.005,0.001,2048.0,256.0,0.98
202.71,8192.0,0.0008,4.0,20.0,0.005,0.001,2048.0,256.0,0.98
202.53,8192.0,0.001,4.0,20.0,0.0001,0.0005,2048.0,256.0,0.98
201.77,8192.0,0.003,4.0,20.0,0.0001,0.0001,2048.0,256.0,0.98
200.77,8192.0,0.001,4.0,20.0,0.001,0.001,2048.0,256.0,0.98
200.75,8192.0,0.005,4.0,20.0,0.0001,0.0001,2048.0,256.0,0.98
200.55,8192.0,0.007,4.0,20.0,0.0001,0.0001,2048.0,256.0,0.98
200.22,8192.0,0.001,4.0,20.0,0.001,0.005,2048.0,256.0,0.98
199.68,8192.0,0.003,4.0,20.0,0.0001,0.001,2048.0,256.0,0.98
199.59,8192.0,0.001,4.0,20.0,0.0001,0.0005,2048.0,256.0,0.98
198.54,8192.0,0.005,4.0,20.0,0.0001,0.005,2048.0,256.0,0.98
194.45,8192.0,0.0008,4.0,20.0,0.005,0.005,2048.0,256.0,0.98
194.14,8192.0,0.01,4.0,20.0,0.0001,0.001,2048.0,256.0,0.98
192.25,8192.0,0.0008,4.0,20.0,0.0005,0.005,2048.0,256.0,0.98
191.53,8192.0,0.005,4.0,20.0,0.0001,0.001,2048.0,256.0,0.98
191.43,8192.0,0.001,4.0,4.0,0.0005,0.005,2048.0,256.0,0.98
189.68,8192.0,0.0008,4.0,20.0,0.0001,0.0001,2048.0,256.0,0.98
189.64,8192.0,0.005,4.0,20.0,0.0001,0.0005,2048.0,256.0,0.98
188.50,8192.0,0.0008,4.0,20.0,0.0001,0.0001,2048.0,256.0,0.98
188.36,8192.0,0.001,4.0,20.0,0.005,0.001,2048.0,256.0,0.98
187.35,2048.0,0.001,20.0,20.0,0.005,0.0001,256.0,512.0,0.9
186.85,8192.0,0.0008,4.0,8.0,0.001,0.001,2048.0,256.0,0.95
185.78,8192.0,0.0008,4.0,8.0,0.005,0.0001,2048.0,256.0,0.9
185.28,8192.0,0.001,4.0,4.0,0.005,0.005,2048.0,256.0,0.98
184.54,8192.0,0.0008,4.0,20.0,0.0001,0.0001,2048.0,256.0,0.98
182.93,8192.0,0.01,20.0,20.0,0.005,0.005,2048.0,2048.0,0.98
181.23,8192.0,0.001,4.0,20.0,0.0001,0.0001,2048.0,256.0,0.98
178.93,8192.0,0.0008,4.0,4.0,0.001,0.005,2048.0,256.0,0.98
177.68,8192.0,0.001,4.0,20.0,0.0005,0.005,2048.0,256.0,0.98
164.48,8192.0,0.0008,4.0,4.0,0.0005,0.005,2048.0,256.0,0.98
151.74,4096.0,0.005,12.0,16.0,0.005,0.001,512.0,1024.0,0.85
126.79,8192.0,0.005,4.0,8.0,0.005,0.005,2048.0,256.0,0.95
109.15,4096.0,0.01,20.0,12.0,0.005,0.005,512.0,1024.0,0.98
107.22,8192.0,0.01,20.0,20.0,0.005,0.005,2048.0,256.0,0.85
99.43,4096.0,0.003,20.0,12.0,0.001,0.001,1024.0,256.0,0.95
93.72,4096.0,0.01,12.0,20.0,0.005,0.005,512.0,1024.0,0.9
83.99,4096.0,0.01,12.0,16.0,0.0001,0.005,512.0,1024.0,0.9
72.04,8192.0,0.007,4.0,20.0,0.0005,0.0005,2048.0,256.0,0.98
